serial_number,model,duration,event_observed,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_194_raw,smart_197_raw,smart_198_raw
ZL22282S,ST16000NM001G,90,0,0.0,44300.0,0.0,0.0,38.0,0.0,0.0
ZL2228M6,ST16000NM001G,90,0,0.0,42811.0,0.0,0.0,34.0,0.0,0.0
ZL2228MA,ST16000NM001G,90,0,0.0,45367.0,0.0,0.0,30.0,0.0,0.0
ZL2228TA,ST16000NM001G,90,0,0.0,45359.0,0.0,0.0,29.0,0.0,0.0
ZL222AEA,ST16000NM001G,90,0,0.0,42775.0,0.0,0.0,41.0,0.0,0.0
ZL222AQV,ST16000NM001G,90,0,0.0,27555.0,0.0,0.0,37.0,0.0,0.0
ZL2235EM,ST16000NM001G,36,0,0.0,846.0,0.0,0.0,36.0,0.0,0.0
ZL2235W5,ST16000NM001G,90,0,0.0,43012.0,0.0,0.0,35.0,0.0,0.0
ZL223D33,ST16000NM001G,90,0,0.0,42798.0,0.0,0.0,29.0,0.0,0.0
ZL2242CZ,ST16000NM001G,90,0,0.0,44300.0,3.0,0.0,38.0,0.0,0.0
ZL2242Y5,ST16000NM001G,90,0,0.0,44316.0,1.0,0.0,38.0,0.0,0.0
ZL224A8B,ST16000NM001G,90,0,0.0,45427.0,0.0,0.0,29.0,0.0,0.0
ZL224P62,ST16000NM001G,90,0,0.0,45359.0,0.0,0.0,30.0,0.0,0.0
